id,datetime,location,text,rating,accessibility,facility,activity,english_translation,text_length,summary,summary_ext_first_sentence,summary_ext_textrank,summary_abs_zero_shot_BART,summary_abs_zero_shot_PEGASUS,summary_abs_finetuned_BART_FULL,summary_abs_finetuned_PEGASUS_FULL,summary_abs_finetuned_BART_SAMPLED,summary_abs_finetuned_PEGASUS_SAMPLED,summary_decoder_gemini_flash_lite
000cd22fbba5431fa57c09c4ca464c74,2022-02-15 13:43:46,Sanghyang Heuleut,"Berada jauh dr jalan raya , perlu jalan kaki naik turun bebatuan. Sekitar 1 jam jalan kaki baru sampai.j gn lupa bawa persediaan air dan makanan untuk di jalan . Kondisi air pada saat kami berkunjung airnya keruh. Menikmati bebatuan pahatan dari Alam yang sangat mengagumkan.",5,neutral,negative,positive,"Located far from the highway, it requires walking up and down rocky terrain. It takes about 1 hour of walking to arrive. Don't forget to bring water and food supplies for the journey. The water condition during our visit was murky. Enjoy the amazing natural rock carvings.",47,"Access to this remote site requires a challenging one-hour hike over rocky terrain. With no facilities available, visitors must bring their own food and water. The primary activity is viewing natural rock carvings, although a water feature at the location was observed to be murky.","Located far from the highway, it requires walking up and down rocky terrain.","Located far from the highway, it requires walking up and down rocky terrain. Don't forget to bring water and food supplies for the journey.","Located far from the highway, it requires walking up and down rocky terrain. It takes about 1 hour of walking to arrive. Don't forget to bring water and food supplies for the journey. The water condition during our visit was murky. Enjoy the amazing natural rock carvings.",Don't forget to bring water and food supplies for the journey.,"The attraction is easily accessible from the highway, requiring approximately an hour of walking. Visitors are advised to bring their own water and food due to murky water. The site features amazing natural rock carvings.",The attraction requires a one-hour walk to reach the rocky terrain. Visitors should bring water and food supplies.,"This attraction, located far from the highway, involves a 1 hour trek through rocky terrain. Visitors are advised to bring water and food due to murky water conditions during their visit. The site features amazing natural rock carvings.",This attraction requires a one-hour walk from the highway. Visitors are advised to bring water and food supplies due to murky water conditions during the visit. Enjoy the amazing natural rock carvings.,"Accessing this site involves a challenging one-hour walk over rocky terrain, far from the highway, so bring water and food. While the water was murky, the natural rock carvings are a notable attraction."
005582ccdb6e4346a0662775457da0cb,2023-02-13 13:24:34,Gunung Putri Lembang,"Tempat parkir luas, motor, helm dan mobil diparkir AMAN.
Lebih baik datang pukul 5 atau 6 sore karena lebih mudah memilih spot camping yang bagus buat foto-foto.
Malam view city light nya keren dan pagi view nya ga kalah keren.",4,neutral,positive,positive,"Spacious parking lot, motorcycles, helmets, and cars are parked SAFELY.
It's better to come around 5 or 6 PM because it's easier to pick a good camping spot for photos.
The city light view at night is cool, and the view in the morning is no less cool.",48,"The attraction provides ample and secure parking for vehicles and is an ideal location for camping and photography. It offers impressive city light views at night and scenic morning vistas, with a late afternoon arrival recommended for securing the best camping spots.","Spacious parking lot, motorcycles, helmets, and cars are parked SAFELY.","It's better to come around 5 or 6 PM because it's easier to pick a good camping spot for photos. The city light view at night is cool, and the view in the morning is no less cool.","Spacious parking lot, motorcycles, helmets, and cars are parked SAFELY.It's better to come around 5 or 6 PM because it's easier to pick a good camping spot for photos.The city light view at night is cool, and the view in the morning is no less cool.","The city light view at night is cool, and the view in the morning is no less cool.",The attraction offers ample parking and is well-maintained. Visitors are advised to arrive around 5 or 6 PM for optimal photo opportunities. The site offers cool city light at night and morning views.,"This attraction offers a spacious parking lot with motorcycles, helmets, and cars, making it ideal for photo opportunities. Visitors should arrive at 5 PM or 6 PM to enjoy the city light at night.","This attraction offers ample parking and ample space for motorcycles, helmets, and cars. Visiting around 5 or 6 PM is recommended for easier photo opportunities. The city light provides a cool nighttime experience and morning views are noted as cooler.","This attraction offers spacious parking, motorcycles, helmets, and cars, making it ideal for photography. Visiting around 5 or 6 PM is recommended for easier camping spots. The city light views at night are cool, and the morning views are cool.","The attraction offers spacious and safe parking for vehicles. Visiting in the late afternoon (5-6 PM) is recommended for optimal photo opportunities and selecting a good camping spot. Both night and morning views, including city lights, are highlighted as appealing."
018ae7fd6fa847e89e227fe814b09b14,2020-02-23 18:34:59,Orchid Forest Cikole,"sukaa banget disini.. tempatnya tenang bgt, walau awalnya jalan menuju kesini ada yg rusak parah skitar 1km (yg bannya ceper lbh baik pikir 2x) tapi pas masuk worth it bgt.. dingin, pemandangan bagus dan pulangnya menuju parkiran bisa naik free shutle car jadi ga berasa capek..",4,neutral,positive,positive,"Love it here so much. The place is very peaceful. Even though initially the road leading here was badly damaged for about 1km (those with flat tires should think twice), once you arrive, it's totally worth it. It's cool, the view is good, and on the way back to the parking lot, you can take a free shuttle car, so you don't feel tired.",64,"Access to the attraction is challenging due to a 1km stretch of poorly maintained road. However, the site offers a peaceful atmosphere with good views, and a complimentary shuttle service is provided to assist visitors with the return trip to the parking area.",Love it here so much.,"Even though initially the road leading here was badly damaged for about 1km (those with flat tires should think twice), once you arrive, it's totally worth it. It's cool, the view is good, and on the way back to the parking lot, you can take a free shuttle car, so you don't feel tired.","Love it here so much. The place is very peaceful. Even though initially the road leading here was badly damaged for about 1km (those with flat tires should think twice), once you arrive, it's totally worth it. It's cool, the view is good, and on the way back to the parking lot, you can take a free shuttle car, so you don't feel tired.","It's cool, the view is good, and on the way back to the parking lot, you can take a free shuttle car, so you don't feel tired.","Despite a damaged road requiring repair, the site offers a peaceful experience with good views and a free shuttle service back to the parking lot, making it a worthwhile visit.","This peaceful attraction offers a pleasant experience, with good views and a free shuttle service to return to the parking lot.","The attraction offers a peaceful experience with good views and a free shuttle service back to the parking lot. Despite a damaged road requiring repair, the journey is worth the effort.","This peaceful location offers good views and a free shuttle service back to the parking lot. The road leading to the site was damaged for a short distance, but once you arrive, it's worth the effort.","Despite a damaged 1km stretch of road, the destination offers a peaceful and worthwhile experience with good views and a pleasant atmosphere. A complimentary shuttle service is available for the return trip to the parking lot, enhancing convenience."
01f41d1df50d44f58f1d3cc14b5de09f,2022-02-15 12:24:49,Curug Tilu Leuwi Opat,"Nuansanya sejuk. Ke tempat curug nya juga gak jauh, airnya juga bersih. Tempatnya luas, bisa buat kemping juga. Dan ada permainan flying fox nya juga buat anak anak. Tiket masuknya murah dan terjangkau. Pokoknya cocok buat obat penghilang penat😍 …",4,positive,positive,positive,"The nuances are cool. It's not far to the waterfall, and the water is also clean. The place is spacious, suitable for camping too. And there's a flying fox game for the kids. The entrance ticket is cheap and affordable. Overall, it's perfect for relieving fatigue 😍",47,"This affordable and easily accessible attraction features a short walk to a clean waterfall. The spacious site is suitable for camping and offers activities, including a flying fox for children.",The nuances are cool.,"It's not far to the waterfall, and the water is also clean. And there's a flying fox game for the kids.","The nuances are cool. It's not far to the waterfall, and the water is also clean. The place is spacious, suitable for camping too. And there's a flying fox game for the kids. The entrance ticket is cheap and affordable. Overall, it's perfect for relieving fatigue 😍","Overall, it's perfect for relieving fatigue","This spacious attraction offers clean water and is suitable for camping. It features a flying fox activity for children and is affordably priced, making it ideal for relaxation.","This attraction offers scenic views and clean water, making it ideal for camping and family outings. The entrance fee is affordable and affordable, making it ideal for camping.","This spacious, clean attraction offers camping and a flying fox game for children, making it ideal for relaxation. The affordable entrance fee is also noted as a good option for relieving fatigue.","This spacious and clean attraction is ideal for camping and offers a flying fox game for children. The entrance fee is affordable, making it a good option for relaxation.",This attraction is easily accessible and features clean water. It offers ample space suitable for camping and includes a flying fox activity for children. The affordable entrance fee contributes to its overall value.
02852883d5224e4bad7f8003af722190,2023-02-02 17:57:45,Floating Market Lembang,Tempatnya bagus.... Pemandangan indah.. Banyak spot foto... Hanya sayang tiketnya menurut saya terlalu tinggi Rp. 50.000/orang itu pun di dalamnya setiap wahana atau spot foto harus bayar lagi. Menyenangkan bagi yang punya cukup banyak uang...😊 …,4,neutral,neutral,positive,"The place is nice.... Beautiful scenery.. Lots of photo spots... It's just a shame the ticket price, in my opinion, is too high at Rp. 50,000/person, and even then, every ride or photo spot inside requires an additional payment. It's fun for those who have quite a lot of money... 😊 …",52,"While the scenic attraction offers numerous photo spots and rides, visitors should be aware that the high entrance fee does not cover these activities, which all require separate additional payments.",The place is nice.... Beautiful scenery.. Lots of photo spots...,"The place is nice.... Beautiful scenery.. Lots of photo spots... It's just a shame the ticket price, in my opinion, is too high at Rp.","The place is nice.... Beautiful scenery.. Lots of photo spots... It's just a shame the ticket price, in my opinion, is too high at Rp. 50,000/person, and even then, every ride or photo spot inside requires an additional payment. It's fun for those who have quite a lot of money... 😊 …","Lots of photo spots... It's just a shame the ticket price, in my opinion, is too high at Rp.","The attraction offers beautiful scenery and numerous photo opportunities. However, the reviewer found the ticket price to be excessively high at Rp. 50,000 per person, with additional charges for all rides and photo spots. It's a fun experience for those who have a lot of money.","The attraction offers beautiful scenery and numerous photo opportunities. However, the ticket price is too high at Rp. 50,000 per person, and the entrance fee is an additional Rp.","The attraction offers beautiful scenery and numerous photo opportunities, but the ticket price is considered too high at Rp. 50,000 per person, with additional charges for ride and photo spots.","The attraction offers beautiful scenery and numerous photo opportunities. However, the ticket price is considered too high, with additional charges for rides and photo spots inside.","Despite beautiful scenery and numerous photo opportunities, the attraction is considered expensive due to a high entrance fee and additional charges for rides and photo spots, making it suitable for visitors with ample funds."
02d68d44cadb41f3890d0fd8c280d28f,2020-02-23 18:13:05,Ciwangun Indah Camp (CIC),"Susah air buat wudhu dan anak2 setelah kotor-kotoran, bingung mau mandinya.. ga ada airnya, padahal air terjun deket",3,neutral,negative,neutral,"It's difficult to get water for ablution and the children after they've gotten dirty, I'm confused about how to bathe them.. there's no water, even though there's a waterfall nearby.",30,"The location lacks essential water facilities for personal hygiene and religious ablution, which negatively impacts the experience for visitors, particularly families with children. This scarcity of water is especially notable given the site's proximity to a waterfall.","It's difficult to get water for ablution and the children after they've gotten dirty, I'm confused about how to bathe them.. there's no water, even though there's a waterfall nearby.","It's difficult to get water for ablution and the children after they've gotten dirty, I'm confused about how to bathe them.. there's no water, even though there's a waterfall nearby.","It's difficult to get water for ablution and the children after they've gotten dirty, I'm confused about how to bathe them.. there's no water, even though there's a waterfall nearby.","there's no water, even though there's a waterfall nearby.","The attraction lacks water for ablution, with children being unable to bathe due to the absence of a waterfall.","The attraction offers no water for bathing, and the children are unable to access the water.",The attraction is difficult to access for ablution and children after they've been dirty are unable to bathe due to a lack of water.,"The attraction lacks water for ablution and children's bathing, despite a nearby waterfall.","The attraction lacks adequate facilities for hygiene, specifically water for bathing children, despite the presence of a nearby waterfall."
04e64fe0908d4f77990744996e855c9b,2020-02-23 18:34:46,Orchid Forest Cikole,"Poto Poto yang gentayangan di Instagram menghoda banget pengen ke sini. Pas ke sini pas pandemi..jadi leluasa. Fresh air oksigen sejuk...Playground nya juga seru. Mushola toilet nya juara 🏆 ni...klo udah ke lewat satu..ntar di depan ada. Ga pake riweuh balik lagi.gitu. Cocok buat family, keluarga atau geng... …",4,neutral,positive,positive,"The photos circulating on Instagram are very tempting, making me want to visit. I came here during the pandemic, so it was uncrowded. Fresh, cool oxygen air... The playground is also fun. The prayer room and toilets are winners 🏆... if you pass one, there's another one up ahead. No hassle going back. It's suitable for families, relatives, or groups...",60,"This family-friendly attraction features a fun playground and is well-equipped with numerous, conveniently accessible prayer rooms and toilets located throughout the site, making it easy for groups to navigate.","The photos circulating on Instagram are very tempting, making me want to visit.","I came here during the pandemic, so it was uncrowded. The prayer room and toilets are winners 🏆... if you pass one, there's another one up ahead.","The photos circulating on Instagram are very tempting, making me want to visit. I came here during the pandemic, so it was uncrowded. Fresh, cool oxygen air... The playground is also fun. The prayer room and toilets are winners 🏆... if you pass one, there's another one up ahead. No hassle going back. It's suitable for families, relatives, or groups...","It's suitable for families, relatives, or groups...","This attraction offers an uncrowded experience with fresh, cool air, a playground, and toilets, making it suitable for families, groups, or groups.","This attraction is highly recommended for families, relatives, and groups, offering fresh, cool air and a fun playground. The prayer room and toilets are noted as a winner, with a pleasant experience.","This attraction offers a fun and uncrowded experience with fresh, cool oxygen air. Visitors can enjoy a fun playground, prayer room, and toilets, with one available ahead of another. It is suitable for families, groups, or groups.","This attraction offers fresh, cool oxygen air and a fun playground, making it ideal for families, relatives, or groups. The prayer room and toilets are noted as winners. Visitors can easily pass one and return to another, eliminating the need for a return visit.","This attraction, featuring a fun playground and well-maintained prayer rooms and toilets, is ideal for families and groups. Its uncrowded nature, particularly during the pandemic, contributed to a pleasant experience with fresh air."
071ad9bb236247009c27788f1151fb5e,2022-06-15 14:08:58,Curug Cimahi / Curug Pelangi,"Curug pelangi yg bener-bener ada pelanginya. Cantik banget 🥺🥺 tiketnya 20k parkir 5k
Dibawah ada toilet, mushola dan warung
Turun tangga gak kerasa. Perjalanan pulang alias naik tangganya itu mantab banget. Bikin kaki Tremor parah wkwkw",5,neutral,positive,positive,"A rainbow waterfall that *actually* has a rainbow. So beautiful 🥺🥺 Ticket is 20k, parking is 5k
Below there are toilets, a prayer room, and a small shop.
Going down the stairs doesn't feel like anything. The trip back, meaning climbing the stairs, is amazing. Makes your legs shake badly lol",51,"The attraction is a scenic waterfall accessed via a physically demanding staircase. The site provides toilets, a prayer room, and a shop, with separate fees for entry and parking.",A rainbow waterfall that *actually* has a rainbow.,"So beautiful 🥺🥺 Ticket is 20k, parking is 5k Below there are toilets, a prayer room, and a small shop. The trip back, meaning climbing the stairs, is amazing.","A rainbow waterfall that *actually* has a rainbow. So beautiful 🥺🥺 Ticket is 20k, parking is 5k, and you can park in the parking lot.Below there are toilets, a prayer room, and a small shop.Going down the stairs doesn't feel like anything. The trip back, meaning climbing the stairs, is amazing. Makes your legs shake badly lol",Going down the stairs doesn't feel like anything.,"This attraction features a beautiful rainbow waterfall and has ticket prices of 20k and parking for 5k. Facilities include toilets, a prayer room, and a small shop. Access involves descending stairs, which can be physically demanding and physically demanding.","This waterfall features a rainbow, making it a beautiful attraction. The entrance fee is 20k and parking is 5k, with toilets, a prayer room, a small shop, and a small shop.","The attraction features a beautiful rainbow waterfall with an entrance fee of 20k and parking at 5k. Facilities include toilets, a prayer room, and a small shop. While the stairs are not strenuous, the return journey is described as amazing and physically demanding.","This rainbow waterfall offers a beautiful experience with a 20k entrance fee and 5k parking. Facilities include toilets, a prayer room, and a small shop. The return trip down the stairs is described as amazing.","The attraction features a beautiful rainbow waterfall. Facilities include toilets, a prayer room, and a small shop. Access involves descending stairs, with the return climb being physically demanding."
085322d82d0e4ae296e74ca88b31fbad,2019-02-23 18:13:29,Ciwangun Indah Camp (CIC)," Tempat ini sebenarnya sangat indah dan alami. Tapi infrastrukturnya perlu diperbaiki. Jalan menuju ke sini cukup buruk, terutama jika Anda mengendarai sepeda motor. Juga, ada monyet di dalam tempat ini dan mereka cukup agresif, jadi berhati-hatilah dan jaga anak Anda jika Anda memilikinya.

",3,negative,neutral,neutral,"This place is actually very beautiful and natural. But the infrastructure needs to be improved. The road to get here is quite bad, especially if you are riding a motorcycle. Also, there are monkeys in this place and they are quite aggressive, so be careful and watch your children if you have them.",53,"The attraction is difficult to access due to poor road conditions, particularly for motorcyclists, and its on-site infrastructure is underdeveloped. Visitors must also be cautious of aggressive monkeys, which pose a safety risk, especially to children.",This place is actually very beautiful and natural.,"The road to get here is quite bad, especially if you are riding a motorcycle. Also, there are monkeys in this place and they are quite aggressive, so be careful and watch your children if you have them.","This place is actually very beautiful and natural. But the infrastructure needs to be improved. The road to get here is quite bad, especially if you are riding a motorcycle. Also, there are monkeys in this place and they are quite aggressive, so be careful and watch your children if you have them.","Also, there are monkeys in this place and they are quite aggressive, so be careful and watch your children if you have them.","The natural beauty of the site is marred by poor road conditions, particularly for motorcycle riders. Visitors should be cautious of aggressive monkeys, especially if they are young.","This natural attraction is beautiful and beautiful, but the road access to the site is poor, especially for motorcycles.","The natural beauty is marred by poor road conditions, especially for motorcycle users. Visitors should be aware of aggressive monkeys and exercise caution.","This natural attraction is beautiful and natural, but the road leading to it is poor, especially for motorcycle riders. Visitors should be aware of aggressive monkeys and be cautious of children present.","The attraction is naturally beautiful but suffers from poor infrastructure, particularly its road access. Visitors should be cautious of aggressive monkeys present at the site."
0c7101c0a0bb40f3b5a8f4abe02bd042,2020-02-15 12:57:12,Kebun Begonia Lembang,"Bunga2 nya banyak variasi dan terawat.. walaupun gak terlalu besar lokasinya tapi banyak spot foto yg bagus.. harga masuknya juga gak mahal..

Kalao lagi hujan bisa neduh sambil makan di restonya..

Yg agak kurang terawat dibagian kebun sayuran.. kalo mau petik2 sendiri tidak banyak variannya..",5,neutral,neutral,positive,"The flowers are varied and well-maintained. Although the location isn't very large, there are many good photo spots. The entrance fee is also not expensive.

If it's raining, you can take shelter and eat at the restaurant.

The vegetable garden area is a bit less maintained. If you want to pick things yourself, there aren't many varieties.",57,"This compact and affordable attraction offers well-maintained flower gardens ideal for photography and includes an on-site restaurant for shelter or dining. However, its vegetable garden is less cared for and provides limited options for self-picking.",The flowers are varied and well-maintained.,"Although the location isn't very large, there are many good photo spots. If it's raining, you can take shelter and eat at the restaurant.","The flowers are varied and well-maintained. Although the location isn't very large, there are many good photo spots. The entrance fee is also not expensive.The restaurant is located in the middle of the street.If it's raining, you can take shelter and eat at the restaurant.The vegetable garden area is a bit less maintained. If you want to pick things yourself, there aren't many varieties.",The vegetable garden area is a bit less maintained.,"This attraction offers diverse, well-maintained flowers and numerous photo opportunities, with an affordable entrance fee. Visitors can shelter and eat at a restaurant during rain. While the vegetable garden area is somewhat less maintained, the selection of produce is limited.","This attraction offers varied and well-maintained flowers, with numerous photo opportunities. The entrance fee is affordable, with shelter available at the restaurant. However, the vegetable garden area is less well-maintained.","This well-maintained flower garden offers numerous photo opportunities, with an affordable entrance fee. Visitors can enjoy shelter and dining at the restaurant. However, the vegetable garden area is somewhat less maintained, with limited variety of produce available.","This attraction offers varied and well-maintained flowers, with numerous photo opportunities. Visitors can enjoy shelter and dining at a restaurant during rainy weather. However, the vegetable garden area is less well-maintained, with fewer varieties available for picking.","This attraction boasts varied and well-maintained flowers with ample photo opportunities, despite its modest size. Visitors can enjoy a restaurant for shelter and dining during rain. However, the vegetable garden is less maintained with limited options for self-picking."
